coarse_class,fine class,number_of_tokens,vocab_size
DESC,manner,10,10
ENTY,cremat,8,8
DESC,manner,12,12
ENTY,animal,13,11
ABBR,exp,8,8
HUM,ind,10,10
HUM,gr,10,10
HUM,title,6,6
DESC,def,5,5
HUM,ind,10,9
NUM,date,6,6
DESC,reason,8,8
HUM,ind,8,7
HUM,ind,4,4
ENTY,event,13,12
LOC,state,9,9
DESC,desc,13,12
NUM,count,11,11
DESC,def,8,8
DESC,def,6,6
NUM,date,8,8
ENTY,other,9,9
HUM,ind,5,5
DESC,desc,6,6
DESC,desc,11,10
ENTY,letter,8,8
HUM,ind,8,8
LOC,other,10,9
ENTY,other,8,8
LOC,state,7,7
ABBR,exp,8,8
ENTY,other,6,6
NUM,count,11,11
HUM,gr,13,13
NUM,count,10,10
DESC,desc,5,5
NUM,date,7,7
ENTY,religion,9,9
LOC,other,14,13
ENTY,animal,12,11
DESC,manner,11,11
ENTY,other,12,12
NUM,count,9,9
NUM,count,12,12
DESC,manner,11,11
HUM,ind,10,10
ENTY,food,12,12
HUM,gr,7,7
DESC,manner,12,11
ENTY,other,11,11
LOC,country,9,9
DESC,def,4,4
HUM,ind,9,8
DESC,desc,10,10
HUM,ind,6,6
DESC,def,7,7
ENTY,color,11,11
ENTY,termeq,9,9
LOC,state,8,8
DESC,def,6,6
LOC,other,5,5
DESC,def,17,17
LOC,country,7,7
DESC,def,4,4
HUM,ind,10,10
LOC,city,13,13
DESC,def,5,5
DESC,reason,6,6
LOC,other,11,10
DESC,reason,8,8
LOC,other,11,11
HUM,ind,7,7
ENTY,other,13,13
DESC,desc,7,7
HUM,ind,12,9
DESC,manner,10,10
HUM,ind,9,9
ENTY,body,11,10
DESC,manner,14,14
LOC,country,16,14
ENTY,other,8,8
NUM,count,11,11
DESC,desc,8,8
LOC,state,10,9
ENTY,animal,7,7
NUM,count,10,10
LOC,country,7,7
ENTY,dismed,7,7
HUM,ind,7,7
NUM,date,12,12
NUM,date,6,6
DESC,reason,10,10
DESC,def,7,7
ENTY,cremat,12,12
DESC,def,7,7
DESC,def,7,7
HUM,gr,13,12
DESC,def,8,8
NUM,date,8,8
LOC,country,11,11
HUM,ind,4,4
DESC,desc,11,10
DESC,desc,9,9
ENTY,animal,10,10
HUM,ind,8,8
HUM,ind,12,11
DESC,manner,7,7
LOC,state,8,8
ENTY,animal,7,7
LOC,mount,8,8
DESC,desc,6,6
LOC,other,20,20
LOC,other,8,8
ENTY,cremat,12,12
ENTY,animal,9,8
ENTY,cremat,14,14
LOC,other,18,16
NUM,money,10,10
ENTY,termeq,9,9
DESC,def,9,9
LOC,other,18,18
ENTY,product,10,10
DESC,manner,13,12
NUM,period,17,17
DESC,manner,7,7
DESC,desc,11,11
DESC,manner,7,7
HUM,ind,11,11
HUM,gr,15,14
NUM,date,8,8
ENTY,cremat,7,7
DESC,def,5,5
ENTY,cremat,8,8
ENTY,animal,13,12
ENTY,substance,12,11
NUM,money,16,15
HUM,ind,9,9
DESC,def,5,5
DESC,def,4,4
NUM,count,9,9
LOC,other,5,5
ENTY,animal,12,11
LOC,city,15,14
ENTY,cremat,11,11
DESC,desc,10,9
NUM,count,10,10
DESC,manner,7,7
ABBR,exp,12,12
HUM,gr,4,4
HUM,ind,8,8
HUM,ind,8,8
HUM,ind,11,11
NUM,count,11,11
HUM,ind,4,4
ENTY,body,10,10
HUM,ind,8,8
LOC,country,10,10
ENTY,cremat,13,12
ENTY,cremat,19,18
DESC,def,7,7
ENTY,event,9,9
NUM,date,8,8
ENTY,body,10,9
DESC,def,5,5
LOC,other,7,7
HUM,gr,15,15
HUM,ind,7,7
LOC,other,14,14
NUM,date,9,9
NUM,count,14,13
LOC,other,6,6
NUM,date,11,11
HUM,ind,15,13
HUM,ind,6,6
ENTY,cremat,10,10
HUM,gr,11,11
DESC,desc,7,7
DESC,reason,13,13
NUM,count,10,10
LOC,city,13,12
LOC,other,15,15
ENTY,sport,14,14
HUM,ind,12,10
HUM,title,8,8
DESC,reason,6,6
DESC,def,9,8
DESC,reason,4,4
NUM,date,11,10
DESC,def,5,5
LOC,country,8,8
ENTY,dismed,11,11
LOC,other,6,6
HUM,gr,15,15
LOC,city,7,7
ENTY,body,9,8
HUM,ind,6,6
HUM,ind,10,10
NUM,date,9,9
LOC,country,9,9
DESC,manner,9,9
HUM,ind,4,4
DESC,def,8,8
DESC,manner,6,6
NUM,date,13,13
HUM,ind,22,22
HUM,ind,8,8
NUM,date,7,7
ENTY,termeq,11,11
DESC,reason,7,7
HUM,gr,8,8
ENTY,event,15,14
ENTY,other,10,9
LOC,city,13,13
DESC,manner,11,11
DESC,reason,7,7
NUM,count,8,8
DESC,def,6,6
NUM,count,9,9
ENTY,plant,12,11
HUM,gr,12,12
DESC,desc,9,8
ABBR,exp,6,6
ENTY,techmeth,10,10
DESC,desc,13,13
DESC,def,8,8
ENTY,other,8,8
NUM,volsize,9,8
DESC,manner,11,11
NUM,date,5,5
NUM,money,10,10
LOC,country,14,13
DESC,def,6,6
HUM,ind,15,15
DESC,reason,7,7
HUM,ind,18,14
NUM,count,12,12
LOC,mount,12,10
LOC,other,16,15
ENTY,techmeth,8,8
HUM,ind,14,13
ENTY,dismed,9,9
ENTY,food,13,12
NUM,count,13,13
DESC,def,8,8
LOC,other,6,6
NUM,count,26,23
HUM,ind,8,7
DESC,def,4,4
DESC,desc,12,12
ENTY,animal,13,11
NUM,date,12,11
HUM,ind,13,12
DESC,desc,9,8
HUM,gr,15,10
NUM,date,8,8
HUM,desc,5,5
ENTY,instru,10,10
DESC,def,16,13
ENTY,other,9,9
LOC,other,17,16
NUM,date,11,11
ABBR,exp,7,7
NUM,date,7,7
NUM,count,9,9
DESC,def,7,7
LOC,city,8,8
DESC,manner,13,13
DESC,def,9,9
ENTY,other,11,11
HUM,ind,8,8
ENTY,techmeth,18,16
ENTY,food,5,5
ENTY,color,10,10
HUM,ind,14,12
HUM,ind,10,9
HUM,ind,11,11
DESC,def,4,4
NUM,date,5,5
ENTY,other,10,9
NUM,date,9,8
NUM,count,8,8
ENTY,animal,8,8
NUM,date,8,8
NUM,volsize,9,8
ENTY,animal,7,7
LOC,city,6,6
HUM,ind,28,23
HUM,ind,11,10
LOC,country,12,12
DESC,manner,12,12
DESC,desc,10,10
LOC,other,6,6
ENTY,termeq,6,6
DESC,manner,12,11
ABBR,exp,8,8
LOC,other,9,9
ENTY,termeq,12,12
ENTY,animal,19,17
LOC,city,8,8
ENTY,termeq,6,6
ENTY,dismed,8,8
HUM,gr,13,13
ENTY,sport,11,11
HUM,ind,11,11
ABBR,abb,7,7
ENTY,other,9,8
HUM,gr,8,8
ABBR,exp,6,6
ABBR,exp,4,4
ENTY,other,14,13
LOC,other,12,12
HUM,ind,12,12
DESC,reason,7,7
NUM,other,6,6
NUM,date,9,9
HUM,ind,13,13
LOC,state,9,9
ENTY,techmeth,9,9
LOC,state,10,10
HUM,gr,12,11
DESC,manner,9,9
NUM,count,10,10
LOC,other,10,9
ENTY,color,6,6
DESC,manner,6,6
NUM,other,12,12
HUM,ind,9,9
LOC,other,11,11
HUM,ind,10,10
DESC,manner,12,11
DESC,manner,6,6
NUM,other,12,12
NUM,other,7,7
NUM,count,10,10
DESC,def,5,5
ENTY,animal,11,11
HUM,ind,16,14
HUM,ind,4,4
ENTY,substance,6,6
HUM,ind,11,11
ENTY,other,9,9
LOC,other,6,6
LOC,other,9,9
HUM,ind,7,7
HUM,gr,10,10
ENTY,product,13,13
HUM,ind,5,5
NUM,count,13,12
ENTY,techmeth,9,9
DESC,manner,7,7
HUM,ind,18,14
NUM,speed,9,8
ENTY,other,9,9
HUM,ind,7,7
LOC,other,9,8
HUM,ind,17,16
NUM,date,12,12
NUM,count,7,7
DESC,reason,11,11
HUM,ind,9,9
HUM,gr,8,7
DESC,def,5,5
LOC,city,12,12
DESC,def,9,9
ENTY,other,15,13
HUM,ind,10,9
DESC,manner,5,5
ENTY,event,12,11
DESC,manner,6,6
NUM,speed,9,8
HUM,ind,18,18
ENTY,animal,9,8
HUM,ind,18,17
LOC,other,6,6
ENTY,cremat,17,17
HUM,ind,7,7
LOC,other,15,15
ENTY,event,10,10
HUM,ind,9,9
NUM,count,8,8
HUM,ind,17,17
ABBR,abb,13,12
LOC,mount,10,10
HUM,ind,9,9
DESC,reason,7,7
LOC,other,11,11
NUM,count,11,11
ENTY,dismed,8,8
ENTY,cremat,16,16
DESC,desc,14,11
HUM,ind,12,11
HUM,ind,11,11
ENTY,cremat,13,13
LOC,other,6,6
ENTY,product,9,9
NUM,date,9,9
DESC,def,5,5
ENTY,other,9,9
DESC,def,9,9
NUM,count,12,12
ENTY,food,8,8
LOC,city,11,11
NUM,count,11,11
ENTY,cremat,7,7
ENTY,animal,6,6
DESC,desc,11,11
DESC,manner,5,5
ENTY,food,11,11
NUM,other,15,14
ENTY,techmeth,11,11
ENTY,other,8,8
DESC,manner,10,10
LOC,mount,13,12
LOC,other,9,8
LOC,country,10,10
NUM,date,9,9
HUM,gr,7,7
ENTY,cremat,18,17
LOC,city,14,13
HUM,ind,13,12
DESC,reason,12,12
LOC,other,14,13
DESC,desc,11,10
LOC,state,11,11
DESC,desc,10,10
NUM,date,6,6
HUM,ind,9,9
ENTY,animal,7,7
DESC,reason,7,7
ENTY,other,5,5
NUM,money,10,10
HUM,ind,16,16
HUM,desc,5,5
DESC,def,7,7
HUM,ind,9,8
LOC,mount,8,8
LOC,other,10,10
LOC,other,10,10
ENTY,other,8,8
DESC,reason,10,10
ENTY,dismed,7,7
NUM,count,11,11
NUM,count,9,9
ABBR,exp,6,6
DESC,def,7,7
ENTY,cremat,13,12
ENTY,sport,17,17
DESC,manner,7,7
NUM,date,9,9
DESC,reason,11,11
HUM,ind,10,10
HUM,ind,14,13
LOC,other,10,10
DESC,reason,8,7
HUM,ind,8,8
LOC,other,13,12
ENTY,word,14,14
ENTY,instru,15,15
LOC,other,9,9
DESC,reason,5,5
HUM,ind,8,7
ENTY,body,8,8
LOC,country,13,13
HUM,ind,6,6
NUM,speed,9,8
LOC,other,13,12
LOC,other,9,9
ENTY,cremat,9,9
HUM,ind,7,7
ENTY,cremat,10,10
LOC,other,5,5
HUM,desc,8,8
ENTY,lang,9,9
HUM,ind,11,10
DESC,def,4,4
ENTY,cremat,23,22
HUM,gr,14,14
NUM,count,8,8
ENTY,food,11,11
ENTY,termeq,10,10
DESC,desc,9,8
DESC,reason,6,6
NUM,date,8,8
HUM,ind,10,10
ENTY,cremat,11,11
ENTY,other,10,9
HUM,ind,10,10
HUM,gr,12,12
LOC,city,10,9
HUM,ind,11,11
ENTY,food,7,7
HUM,ind,11,10
LOC,other,10,10
NUM,count,15,14
HUM,ind,6,6
ENTY,cremat,7,7
DESC,reason,6,6
DESC,def,5,5
HUM,ind,15,15
HUM,gr,21,21
NUM,period,12,12
HUM,ind,8,8
LOC,other,8,8
HUM,ind,10,9
HUM,ind,10,10
ENTY,other,16,13
ENTY,other,11,11
HUM,ind,7,7
LOC,city,8,8
ENTY,other,14,13
ENTY,animal,10,10
NUM,perc,11,11
ENTY,substance,11,10
DESC,desc,5,4
LOC,country,8,8
DESC,desc,23,20
LOC,country,11,11
NUM,count,10,10
ABBR,exp,6,6
ENTY,other,8,8
NUM,money,16,15
DESC,reason,6,6
LOC,country,11,11
ENTY,other,8,8
HUM,ind,8,8
HUM,ind,16,16
ENTY,other,13,13
LOC,city,7,7
DESC,def,5,5
NUM,count,11,11
NUM,date,8,8
LOC,city,10,9
NUM,code,11,10
HUM,ind,4,4
NUM,count,8,8
ENTY,product,12,12
NUM,dist,8,8
LOC,city,9,9
DESC,def,7,7
DESC,manner,9,9
ENTY,cremat,11,11
HUM,ind,17,15
DESC,desc,11,10
ENTY,dismed,7,7
ENTY,animal,8,8
NUM,count,7,7
LOC,city,14,14
LOC,other,7,7
NUM,date,7,7
ENTY,other,9,9
NUM,date,5,5
ENTY,termeq,18,16
DESC,def,5,5
DESC,desc,6,6
DESC,manner,11,11
LOC,mount,8,8
HUM,gr,9,8
DESC,def,4,4
ENTY,cremat,16,15
LOC,country,6,6
LOC,other,19,16
LOC,state,9,9
ENTY,cremat,9,9
NUM,temp,10,10
ENTY,dismed,7,7
ENTY,cremat,14,14
DESC,def,6,6
LOC,other,9,9
ENTY,other,7,7
LOC,city,9,9
HUM,ind,10,10
LOC,other,6,6
ENTY,sport,15,15
ENTY,other,9,9
DESC,def,7,7
HUM,ind,12,11
LOC,other,10,10
HUM,gr,12,12
ENTY,substance,6,6
ENTY,food,14,13
LOC,other,19,13
HUM,ind,6,6
DESC,reason,9,9
HUM,ind,5,5
ENTY,cremat,12,11
LOC,other,9,9
ENTY,dismed,8,8
NUM,count,12,12
ENTY,food,11,11
ABBR,exp,13,13
NUM,count,8,8
ENTY,plant,7,7
LOC,country,16,16
ENTY,other,12,12
HUM,ind,19,18
ENTY,sport,10,10
HUM,ind,12,12
NUM,count,11,11
ENTY,word,10,9
LOC,other,13,12
HUM,ind,21,21
ENTY,animal,9,9
ENTY,other,10,10
DESC,def,9,9
NUM,perc,8,8
ENTY,color,14,14
ENTY,substance,8,8
DESC,def,6,6
NUM,money,12,12
HUM,gr,15,14
HUM,ind,11,10
HUM,ind,11,11
DESC,def,8,8
ENTY,symbol,11,10
ENTY,animal,10,10
DESC,def,4,4
NUM,date,9,9
ENTY,cremat,7,7
HUM,ind,10,10
DESC,manner,12,12
HUM,ind,8,7
DESC,manner,13,13
DESC,def,6,6
LOC,other,13,13
LOC,other,9,9
ENTY,substance,7,7
DESC,reason,12,12
LOC,city,8,8
NUM,date,5,5
DESC,reason,6,6
NUM,count,9,9
ENTY,color,13,12
DESC,reason,24,22
HUM,desc,4,4
ENTY,cremat,15,14
DESC,def,5,5
ENTY,food,5,5
HUM,ind,8,8
ENTY,other,14,14
NUM,date,12,11
DESC,desc,10,9
ENTY,sport,8,8
DESC,def,5,5
LOC,other,4,4
HUM,gr,11,11
HUM,ind,21,20
ENTY,food,7,7
HUM,ind,9,9
ENTY,termeq,10,9
DESC,def,7,7
ENTY,product,11,10
NUM,speed,5,5
ENTY,termeq,12,11
DESC,def,5,5
HUM,gr,11,10
NUM,date,8,8
LOC,other,10,10
DESC,manner,8,8
DESC,desc,10,9
HUM,desc,5,5
LOC,other,16,16
ENTY,animal,7,7
NUM,count,7,7
ENTY,cremat,9,9
HUM,ind,17,15
NUM,ord,10,9
HUM,ind,8,8
HUM,ind,11,11
ABBR,abb,12,11
NUM,speed,8,8
LOC,mount,9,8
LOC,other,12,12
HUM,ind,16,16
NUM,period,13,13
LOC,other,16,16
LOC,country,9,8
DESC,manner,17,16
DESC,manner,10,10
HUM,ind,9,8
ENTY,dismed,9,9
DESC,desc,17,16
HUM,ind,13,12
DESC,reason,11,10
ENTY,other,6,6
ENTY,cremat,13,13
LOC,country,9,9
LOC,other,8,8
ENTY,dismed,7,7
ENTY,sport,10,10
HUM,ind,7,7
HUM,ind,17,14
LOC,state,10,10
DESC,desc,7,7
DESC,desc,16,16
ENTY,sport,28,21
HUM,ind,10,10
ENTY,cremat,10,10
DESC,def,4,4
NUM,count,10,10
ENTY,product,12,12
NUM,dist,14,12
HUM,ind,12,12
HUM,gr,9,9
LOC,other,8,8
HUM,ind,9,9
ENTY,dismed,8,8
NUM,other,15,13
HUM,title,9,9
DESC,manner,11,9
NUM,dist,10,10
LOC,other,5,5
ENTY,food,8,8
ENTY,dismed,29,25
NUM,count,10,10
ENTY,animal,13,12
ENTY,cremat,11,10
ENTY,letter,13,13
DESC,desc,15,13
ENTY,word,7,7
HUM,ind,8,8
NUM,date,11,10
NUM,perc,8,8
NUM,date,9,8
LOC,city,9,9
LOC,city,10,10
HUM,ind,19,18
DESC,def,5,5
NUM,count,15,14
HUM,ind,12,12
LOC,city,11,10
HUM,ind,13,13
NUM,count,18,18
DESC,def,7,7
HUM,ind,10,9
LOC,other,6,6
NUM,dist,8,8
DESC,desc,9,9
HUM,ind,32,25
DESC,manner,11,11
ENTY,termeq,11,11
ENTY,color,6,6
NUM,money,12,12
HUM,ind,14,14
NUM,count,12,11
ENTY,other,13,13
ENTY,lang,8,8
NUM,count,9,9
DESC,desc,10,10
NUM,count,10,10
DESC,def,8,8
DESC,def,7,7
LOC,other,5,5
HUM,ind,19,18
ENTY,animal,9,9
HUM,ind,11,11
NUM,count,12,11
DESC,manner,7,7
LOC,other,10,9
NUM,perc,14,14
LOC,other,14,14
ENTY,cremat,8,8
DESC,reason,11,11
DESC,manner,7,7
DESC,manner,6,6
ENTY,animal,6,6
DESC,manner,12,11
LOC,other,12,12
DESC,manner,10,10
HUM,ind,14,14
ENTY,product,16,16
DESC,reason,8,7
HUM,ind,7,7
HUM,desc,5,5
HUM,ind,11,10
ENTY,cremat,8,8
ENTY,event,9,8
DESC,def,9,9
DESC,reason,11,11
ENTY,dismed,13,12
DESC,def,4,4
LOC,country,11,11
NUM,count,10,10
ENTY,plant,10,9
NUM,date,5,5
ENTY,food,9,9
HUM,ind,17,16
NUM,money,12,12
NUM,date,8,8
ENTY,lang,8,8
HUM,gr,10,10
DESC,manner,10,10
DESC,def,5,5
HUM,ind,15,15
DESC,def,7,7
HUM,ind,9,9
ENTY,dismed,8,8
HUM,ind,12,12
NUM,period,11,10
ENTY,other,9,9
DESC,reason,8,8
HUM,ind,13,12
LOC,city,12,12
HUM,ind,13,13
DESC,def,6,6
HUM,ind,13,12
HUM,ind,16,16
HUM,ind,12,12
ENTY,product,8,8
HUM,ind,15,14
DESC,def,16,15
HUM,ind,9,9
ENTY,dismed,9,9
DESC,def,4,4
NUM,date,11,11
DESC,def,5,5
ENTY,animal,14,12
LOC,other,5,5
ENTY,animal,7,7
DESC,desc,11,10
ENTY,other,14,14
NUM,count,10,10
DESC,manner,6,6
DESC,manner,12,12
HUM,ind,13,13
ENTY,veh,8,8
LOC,city,11,11
ENTY,product,14,13
NUM,money,9,9
ABBR,exp,6,6
HUM,ind,5,5
HUM,gr,13,13
HUM,ind,6,6
ENTY,techmeth,12,11
ENTY,food,5,5
ENTY,termeq,8,8
ENTY,cremat,12,11
NUM,count,10,10
ENTY,other,6,6
DESC,def,7,7
NUM,count,12,12
HUM,ind,7,7
ENTY,cremat,17,17
DESC,desc,13,12
ENTY,word,7,7
DESC,reason,9,9
DESC,reason,7,7
HUM,desc,5,5
ENTY,animal,6,6
ABBR,exp,9,8
LOC,country,8,8
HUM,ind,14,13
ENTY,event,7,6
HUM,title,5,5
HUM,ind,21,19
ABBR,exp,7,7
DESC,def,9,9
HUM,ind,8,8
DESC,def,6,6
NUM,count,12,12
NUM,count,7,7
HUM,ind,13,13
HUM,ind,7,7
NUM,other,13,12
LOC,other,5,5
NUM,date,7,7
DESC,reason,9,9
HUM,gr,9,9
HUM,gr,15,15
LOC,other,12,11
LOC,state,8,8
ENTY,animal,12,12
LOC,country,6,6
LOC,other,6,6
ENTY,lang,9,9
LOC,other,5,5
HUM,ind,12,12
HUM,ind,13,12
LOC,state,10,9
DESC,reason,13,12
HUM,title,8,8
LOC,city,11,11
HUM,ind,6,6
HUM,ind,10,10
ENTY,animal,12,11
DESC,desc,8,8
ENTY,color,6,6
LOC,other,9,8
ENTY,event,8,8
HUM,ind,8,8
HUM,ind,10,10
HUM,ind,11,11
DESC,def,6,6
ENTY,termeq,12,12
NUM,date,7,7
ENTY,dismed,7,7
NUM,count,10,10
NUM,date,8,8
HUM,ind,11,11
ENTY,word,19,19
NUM,count,9,9
HUM,gr,10,10
LOC,other,9,8
ENTY,food,8,8
HUM,gr,15,14
NUM,date,8,8
NUM,count,13,13
NUM,date,13,13
LOC,mount,13,12
DESC,reason,11,11
HUM,ind,7,7
NUM,count,8,8
ENTY,veh,13,11
LOC,other,11,11
DESC,manner,15,15
LOC,other,8,8
LOC,country,8,8
ENTY,body,12,12
NUM,count,7,7
LOC,country,8,8
ENTY,event,9,9
DESC,desc,12,12
HUM,ind,10,10
DESC,desc,11,10
ENTY,cremat,11,11
DESC,reason,4,4
HUM,ind,16,16
ENTY,other,12,11
ENTY,plant,7,7
LOC,country,7,7
HUM,ind,32,29
ENTY,food,10,10
LOC,state,8,8
DESC,reason,11,11
DESC,def,7,7
LOC,city,14,14
ENTY,substance,8,8
LOC,country,9,9
ENTY,color,6,6
HUM,ind,12,11
DESC,desc,13,12
HUM,ind,9,9
ENTY,sport,15,15
LOC,country,13,12
LOC,country,8,8
HUM,ind,18,15
DESC,desc,10,8
ENTY,sport,12,12
DESC,def,5,5
ENTY,animal,14,14
DESC,def,6,6
HUM,ind,22,19
NUM,count,12,12
LOC,city,10,10
LOC,other,9,9
HUM,ind,8,8
ENTY,termeq,9,9
DESC,def,14,11
HUM,ind,13,12
NUM,count,16,15
DESC,def,6,6
NUM,date,5,5
ENTY,sport,10,10
LOC,other,9,8
DESC,def,8,8
NUM,date,8,8
ENTY,other,8,8
NUM,count,9,9
ENTY,food,13,13
ENTY,other,12,12
ENTY,event,12,10
ENTY,cremat,10,10
LOC,other,5,5
DESC,desc,11,10
HUM,ind,14,13
HUM,ind,10,10
HUM,ind,9,9
NUM,money,12,12
ENTY,other,12,11
HUM,ind,12,12
NUM,money,12,11
ABBR,exp,15,15
DESC,manner,7,7
LOC,state,8,8
DESC,reason,11,11
ENTY,cremat,12,12
NUM,count,9,9
HUM,ind,14,14
ENTY,event,7,7
HUM,ind,14,14
DESC,def,6,6
LOC,other,17,14
ENTY,dismed,7,7
ENTY,sport,13,13
ENTY,animal,11,10
ENTY,event,19,16
DESC,manner,11,11
LOC,other,10,9
DESC,desc,14,12
HUM,ind,7,7
HUM,ind,16,14
HUM,ind,21,17
NUM,date,7,7
ENTY,termeq,23,23
ENTY,product,16,15
HUM,gr,10,10
HUM,ind,11,11
ENTY,cremat,11,11
DESC,desc,10,10
DESC,reason,7,7
NUM,perc,18,17
NUM,count,7,7
DESC,reason,12,12
ENTY,instru,8,8
HUM,ind,8,8
DESC,def,8,8
NUM,count,9,9
NUM,date,12,12
ENTY,termeq,11,11
HUM,ind,4,4
DESC,reason,14,14
LOC,other,12,12
HUM,title,12,12
HUM,ind,9,9
ENTY,animal,9,9
HUM,title,7,7
ENTY,cremat,8,8
LOC,other,10,10
ENTY,event,10,10
DESC,def,6,6
ENTY,veh,12,11
ENTY,other,8,8
DESC,def,5,5
LOC,city,11,11
ENTY,termeq,14,14
NUM,money,11,11
LOC,other,5,5
DESC,def,6,6
DESC,manner,8,8
HUM,gr,13,12
NUM,other,8,8
NUM,count,9,9
DESC,desc,15,13
ENTY,dismed,8,8
NUM,dist,9,8
ENTY,sport,15,15
ENTY,animal,18,18
NUM,weight,12,11
ENTY,other,15,15
LOC,state,7,7
DESC,manner,21,16
HUM,ind,11,11
ENTY,animal,7,7
NUM,date,10,10
HUM,gr,11,10
DESC,manner,10,10
ENTY,veh,11,10
HUM,ind,15,15
HUM,ind,9,9
ENTY,cremat,12,12
NUM,count,8,8
DESC,manner,12,12
ENTY,animal,9,8
DESC,manner,13,12
NUM,volsize,19,19
DESC,def,4,4
NUM,count,10,10
NUM,count,7,7
ENTY,cremat,16,16
DESC,def,5,5
HUM,ind,11,10
DESC,desc,6,6
NUM,money,12,11
ENTY,cremat,7,7
NUM,count,10,10
DESC,def,5,5
LOC,other,9,8
DESC,def,4,4
ENTY,sport,14,13
ENTY,substance,13,13
NUM,period,18,15
LOC,country,11,11
DESC,manner,8,8
NUM,count,12,12
ENTY,food,19,16
LOC,other,10,10
